('5639', '8209', '3', '3768232')
('5639', '2907', '5', '5332506')
('3464', '2850', '3', '9301089')
('3464', '2850', '10', '4496417')
('3464', '2630', '2', '2086127')
('3464', '2630', '6', '8081151')
('5639', '5345', '7', '6237531')
('5639', '2907', '8', '4015296')
('3464', '2189', '2', '8634909')
('5639', '2907', '2', '3911448')
('3464', '2850', '8', '6718925')
('3464', '2630', '5', '6148089')
('3464', '2630', '3', '6067296')
('5639', '2907', '10', '6784128')
('5639', '5345', '8', '2386617')
('3464', '2189', '2', '3508130')
('3464', '2189', '7', '4689594')
('5639', '5345', '3', '1752523')
('5639', '5345', '5', '1587743')
('5639', '5345', '5', '7126340')
('5639', '2907', '4', '2246707')
('5639', '8209', '9', '8667531')
('3464', '2630', '6', '4776627')
('5639', '2907', '6', '4398950')
('5639', '5345', '4', '8456395')
('3464', '2630', '2', '7533306')
('3464', '2189', '4', '7698008')
('3464', '2189', '1', '851027')
('5639', '8209', '9', '4343190')
('3464', '2630', '9', '3726241')
('5639', '5345', '5', '7865265')
('5639', '8209', '5', '5145769')
('5639', '8209', '1', '8739138')
('3464', '2850', '6', '334227')
('5639', '8209', '1', '1171087')
('3464', '2850', '5', '1228585')
('5639', '2907', '8', '5820966')
('5639', '2907', '2', '4703800')
('5639', '5345', '2', '1360767')
('3464', '2630', '8', '2556566')
('3464', '2850', '1', '459604')
('5639', '5345', '8', '182982')
('5639', '5345', '6', '4542868')
('5639', '8209', '8', '5303130')
('5639', '5345', '4', '8966920')
('5639', '2907', '7', '9022928')
('5639', '2907', '8', '1973408')
('5639', '2907', '5', '8163455')
('3464', '2189', '10', '323519')
('5639', '2907', '4', '5928528')
('5639', '5345', '10', '9670402')
('3464', '2850', '2', '8671127')
('3464', '2850', '3', '6391881')
('3464', '2630', '8', '7257218')
('5639', '8209', '9', '6429029')
('5639', '2907', '6', '3644893')
('5639', '8209', '4', '6934387')
('3464', '2850', '9', '3845508')
('3464', '2850', '4', '564350')
('3464', '2189', '4', '4981382')
('3464', '2850', '4', '9018552')
('3464', '2189', '5', '6558697')
('3464', '2630', '3', '445581')
('5639', '8209', '1', '9664797')
('5639', '8209', '4', '1546361')
('5639', '5345', '10', '7122326')
('5639', '2907', '10', '5749393')
('5639', '5345', '8', '7911955')
('3464', '2850', '7', '1771204')
('5639', '2907', '5', '8166420')
('5639', '2907', '9', '452061')
('3464', '2189', '3', '1078989')
('5639', '2907', '9', '3366817')
('5639', '8209', '8', '5487651')
('5639', '8209', '5', '5847078')
('3464', '2189', '1', '4684869')
('5639', '2907', '8', '9178217')
('3464', '2189', '5', '7543753')
('5639', '5345', '1', '2398334')
('3464', '2189', '10', '9117924')
('3464', '2630', '9', '1469030')
('5639', '5345', '4', '3672950')
('3464', '2850', '8', '7470918')
('5639', '5345', '8', '2865136')
('3464', '2850', '10', '7852853')
('5639', '5345', '6', '6443563')
('3464', '2630', '2', '5611135')
('5639', '8209', '10', '8432709')
('3464', '2189', '8', '1160203')
('3464', '2189', '5', '7730679')
('5639', '5345', '7', '4957062')
('3464', '2630', '3', '5127906')
('5639', '5345', '1', '1643717')
('5639', '2907', '8', '3386812')
('3464', '2850', '10', '4521521')
('5639', '5345', '7', '7954469')
('3464', '2850', '6', '23252')
('3464', '2189', '8', '7882835')
('3464', '2630', '9', '668972')
('3464', '2630', '7', '3310257')
('5639', '8209', '4', '4265287')
('3464', '2630', '7', '5492714')
('3464', '2189', '2', '3375191')
('3464', '2850', '5', '5720697')
('3464', '2850', '6', '3298431')
