{'sales_id': 5739465, 'e_id': 5199, 'store_id': 3484, 'sales': 83, 'item_no': 628, 'city_name': 'Lake Christineburgh'}
{'sales_id': 1930358, 'e_id': 8, 'store_id': 3484, 'sales': 92, 'item_no': 432, 'city_name': 'Jodyfurt'}
{'sales_id': 6044318, 'e_id': 7786, 'store_id': 3484, 'sales': 15, 'item_no': 266, 'city_name': 'Josebury'}
{'sales_id': 6371058, 'e_id': 2668, 'store_id': 2366, 'sales': 2, 'item_no': 702, 'city_name': 'East Wayne'}
{'sales_id': 3410748, 'e_id': 8, 'store_id': 3484, 'sales': 85, 'item_no': 734, 'city_name': 'Leeport'}
{'sales_id': 6870872, 'e_id': 3299, 'store_id': 2366, 'sales': 63, 'item_no': 291, 'city_name': 'Sampsonmouth'}
{'sales_id': 9918934, 'e_id': 8, 'store_id': 3484, 'sales': 59, 'item_no': 187, 'city_name': 'Lake Justin'}
{'sales_id': 733417, 'e_id': 8, 'store_id': 3484, 'sales': 16, 'item_no': 918, 'city_name': 'South Davidborough'}
{'sales_id': 6523, 'e_id': 4208, 'store_id': 2366, 'sales': 82, 'item_no': 160, 'city_name': 'Lake Lynn'}
{'sales_id': 9068647, 'e_id': 5199, 'store_id': 3484, 'sales': 28, 'item_no': 46, 'city_name': 'Nancytown'}
{'sales_id': 8069939, 'e_id': 3299, 'store_id': 2366, 'sales': 75, 'item_no': 284, 'city_name': 'North Teresa'}
{'sales_id': 8645149, 'e_id': 3299, 'store_id': 2366, 'sales': 55, 'item_no': 101, 'city_name': 'Matthewsbury'}
{'sales_id': 2262223, 'e_id': 3299, 'store_id': 2366, 'sales': 7, 'item_no': 357, 'city_name': 'Lake Peterside'}
{'sales_id': 7962000, 'e_id': 4208, 'store_id': 2366, 'sales': 15, 'item_no': 934, 'city_name': 'Armstrongfort'}
{'sales_id': 1166108, 'e_id': 4208, 'store_id': 2366, 'sales': 0, 'item_no': 461, 'city_name': 'Melissastad'}
{'sales_id': 9649123, 'e_id': 2668, 'store_id': 2366, 'sales': 62, 'item_no': 774, 'city_name': 'Brownmouth'}
{'sales_id': 3260459, 'e_id': 7786, 'store_id': 3484, 'sales': 37, 'item_no': 252, 'city_name': 'New Jasonport'}
{'sales_id': 508400, 'e_id': 2668, 'store_id': 2366, 'sales': 12, 'item_no': 281, 'city_name': 'East Cassandraborough'}
{'sales_id': 3798423, 'e_id': 4208, 'store_id': 2366, 'sales': 10, 'item_no': 854, 'city_name': 'Keithmouth'}
{'sales_id': 9645105, 'e_id': 5199, 'store_id': 3484, 'sales': 97, 'item_no': 91, 'city_name': 'Chaseland'}
{'sales_id': 464444, 'e_id': 8, 'store_id': 3484, 'sales': 98, 'item_no': 614, 'city_name': 'Port Olivia'}
{'sales_id': 9594242, 'e_id': 4208, 'store_id': 2366, 'sales': 28, 'item_no': 90, 'city_name': 'South Christopher'}
{'sales_id': 6156963, 'e_id': 8, 'store_id': 3484, 'sales': 14, 'item_no': 636, 'city_name': 'Danielborough'}
{'sales_id': 1226126, 'e_id': 4208, 'store_id': 2366, 'sales': 55, 'item_no': 274, 'city_name': 'Jeannemouth'}
{'sales_id': 6355958, 'e_id': 7786, 'store_id': 3484, 'sales': 22, 'item_no': 767, 'city_name': 'East Charles'}
{'sales_id': 7616446, 'e_id': 5199, 'store_id': 3484, 'sales': 70, 'item_no': 762, 'city_name': 'Mooreville'}
{'sales_id': 8411108, 'e_id': 7786, 'store_id': 3484, 'sales': 0, 'item_no': 17, 'city_name': 'East Krystal'}
{'sales_id': 7282884, 'e_id': 4208, 'store_id': 2366, 'sales': 78, 'item_no': 494, 'city_name': 'Paynemouth'}
{'sales_id': 4324864, 'e_id': 5199, 'store_id': 3484, 'sales': 44, 'item_no': 781, 'city_name': 'Melissafurt'}
{'sales_id': 3893114, 'e_id': 7786, 'store_id': 3484, 'sales': 18, 'item_no': 458, 'city_name': 'Fosterfurt'}
{'sales_id': 9868009, 'e_id': 7786, 'store_id': 3484, 'sales': 31, 'item_no': 828, 'city_name': 'West Kayla'}
{'sales_id': 8642830, 'e_id': 5199, 'store_id': 3484, 'sales': 12, 'item_no': 241, 'city_name': 'South Denisebury'}
{'sales_id': 531197, 'e_id': 4208, 'store_id': 2366, 'sales': 38, 'item_no': 936, 'city_name': 'Warnershire'}
{'sales_id': 2216671, 'e_id': 2668, 'store_id': 2366, 'sales': 55, 'item_no': 442, 'city_name': 'Mikaylaland'}
{'sales_id': 4189058, 'e_id': 4208, 'store_id': 2366, 'sales': 89, 'item_no': 406, 'city_name': 'Thorntonchester'}
{'sales_id': 3726503, 'e_id': 8, 'store_id': 3484, 'sales': 22, 'item_no': 242, 'city_name': 'New Julie'}
{'sales_id': 2525832, 'e_id': 8, 'store_id': 3484, 'sales': 32, 'item_no': 430, 'city_name': 'Martinezland'}
{'sales_id': 7735315, 'e_id': 3299, 'store_id': 2366, 'sales': 72, 'item_no': 119, 'city_name': 'Trevorton'}
{'sales_id': 9663098, 'e_id': 7786, 'store_id': 3484, 'sales': 97, 'item_no': 947, 'city_name': 'Pamelaton'}
{'sales_id': 6337652, 'e_id': 3299, 'store_id': 2366, 'sales': 50, 'item_no': 487, 'city_name': 'Smithview'}
{'sales_id': 5461684, 'e_id': 4208, 'store_id': 2366, 'sales': 30, 'item_no': 558, 'city_name': 'Port Elizabeth'}
{'sales_id': 9638938, 'e_id': 5199, 'store_id': 3484, 'sales': 11, 'item_no': 483, 'city_name': 'Port Fredmouth'}
{'sales_id': 8350148, 'e_id': 8, 'store_id': 3484, 'sales': 89, 'item_no': 532, 'city_name': 'Jasmineview'}
{'sales_id': 3826228, 'e_id': 5199, 'store_id': 3484, 'sales': 52, 'item_no': 741, 'city_name': 'Cindyhaven'}
{'sales_id': 8608353, 'e_id': 5199, 'store_id': 3484, 'sales': 0, 'item_no': 314, 'city_name': 'Port Sarah'}
{'sales_id': 8480742, 'e_id': 2668, 'store_id': 2366, 'sales': 85, 'item_no': 399, 'city_name': 'West Danielhaven'}
{'sales_id': 7643695, 'e_id': 7786, 'store_id': 3484, 'sales': 31, 'item_no': 554, 'city_name': 'Port Thomas'}
{'sales_id': 6331564, 'e_id': 7786, 'store_id': 3484, 'sales': 1, 'item_no': 274, 'city_name': 'Port Amy'}
{'sales_id': 1071800, 'e_id': 4208, 'store_id': 2366, 'sales': 11, 'item_no': 686, 'city_name': 'Cherylchester'}
{'sales_id': 8320455, 'e_id': 3299, 'store_id': 2366, 'sales': 48, 'item_no': 758, 'city_name': 'Castrostad'}
{'sales_id': 545711, 'e_id': 5199, 'store_id': 3484, 'sales': 43, 'item_no': 917, 'city_name': 'Hooperside'}
{'sales_id': 3408882, 'e_id': 5199, 'store_id': 3484, 'sales': 40, 'item_no': 312, 'city_name': 'West Luis'}
{'sales_id': 7973820, 'e_id': 7786, 'store_id': 3484, 'sales': 92, 'item_no': 412, 'city_name': 'South Brandonshire'}
{'sales_id': 3816660, 'e_id': 2668, 'store_id': 2366, 'sales': 81, 'item_no': 328, 'city_name': 'Morenoborough'}
{'sales_id': 6043434, 'e_id': 7786, 'store_id': 3484, 'sales': 40, 'item_no': 167, 'city_name': 'Lake Sherrihaven'}
{'sales_id': 1360875, 'e_id': 3299, 'store_id': 2366, 'sales': 1, 'item_no': 93, 'city_name': 'North Margaret'}
{'sales_id': 4488137, 'e_id': 4208, 'store_id': 2366, 'sales': 35, 'item_no': 234, 'city_name': 'West Melvinfurt'}
{'sales_id': 2641057, 'e_id': 8, 'store_id': 3484, 'sales': 10, 'item_no': 837, 'city_name': 'Torresburgh'}
{'sales_id': 427576, 'e_id': 4208, 'store_id': 2366, 'sales': 84, 'item_no': 662, 'city_name': 'Lake Stephanieshire'}
{'sales_id': 7662690, 'e_id': 3299, 'store_id': 2366, 'sales': 17, 'item_no': 503, 'city_name': 'North Adrianchester'}
{'sales_id': 5023593, 'e_id': 2668, 'store_id': 2366, 'sales': 41, 'item_no': 767, 'city_name': 'Port Beth'}
{'sales_id': 9807666, 'e_id': 3299, 'store_id': 2366, 'sales': 27, 'item_no': 863, 'city_name': 'Woodsshire'}
{'sales_id': 2667774, 'e_id': 3299, 'store_id': 2366, 'sales': 4, 'item_no': 804, 'city_name': 'West Bobby'}
{'sales_id': 1516393, 'e_id': 8, 'store_id': 3484, 'sales': 26, 'item_no': 764, 'city_name': 'West Saratown'}
{'sales_id': 6744734, 'e_id': 7786, 'store_id': 3484, 'sales': 91, 'item_no': 767, 'city_name': 'East Lisa'}
{'sales_id': 4053322, 'e_id': 4208, 'store_id': 2366, 'sales': 10, 'item_no': 487, 'city_name': 'Alicialand'}
{'sales_id': 9808845, 'e_id': 4208, 'store_id': 2366, 'sales': 80, 'item_no': 932, 'city_name': 'New Sierra'}
{'sales_id': 5078189, 'e_id': 2668, 'store_id': 2366, 'sales': 40, 'item_no': 601, 'city_name': 'Parsonsville'}
{'sales_id': 7501800, 'e_id': 7786, 'store_id': 3484, 'sales': 66, 'item_no': 847, 'city_name': 'Rachelton'}
