{'sales_id': 1597426, 'e_id': 3854, 'store_id': 2733, 'sales': 36, 'item_no': 446, 'city_name': 'Rickhaven'}
{'sales_id': 3902522, 'e_id': 8824, 'store_id': 2733, 'sales': 43, 'item_no': 695, 'city_name': 'West Wanda'}
{'sales_id': 944110, 'e_id': 4190, 'store_id': 2027, 'sales': 2, 'item_no': 645, 'city_name': 'Porterburgh'}
{'sales_id': 7123642, 'e_id': 1102, 'store_id': 2733, 'sales': 8, 'item_no': 590, 'city_name': 'Thomasberg'}
{'sales_id': 1753712, 'e_id': 1102, 'store_id': 2733, 'sales': 82, 'item_no': 902, 'city_name': 'East Stacie'}
{'sales_id': 1298690, 'e_id': 5756, 'store_id': 2027, 'sales': 85, 'item_no': 217, 'city_name': 'Johnsonhaven'}
{'sales_id': 54979, 'e_id': 1102, 'store_id': 2733, 'sales': 38, 'item_no': 971, 'city_name': 'South Justinton'}
{'sales_id': 2969196, 'e_id': 1855, 'store_id': 2027, 'sales': 79, 'item_no': 874, 'city_name': 'Murphymouth'}
{'sales_id': 7442935, 'e_id': 3854, 'store_id': 2733, 'sales': 93, 'item_no': 17, 'city_name': 'Michealshire'}
{'sales_id': 5101675, 'e_id': 1102, 'store_id': 2733, 'sales': 96, 'item_no': 63, 'city_name': 'North Robert'}
{'sales_id': 4828999, 'e_id': 8824, 'store_id': 2733, 'sales': 16, 'item_no': 773, 'city_name': 'Marksbury'}
{'sales_id': 7179627, 'e_id': 4190, 'store_id': 2027, 'sales': 24, 'item_no': 474, 'city_name': 'Marshallbury'}
{'sales_id': 8948071, 'e_id': 1855, 'store_id': 2027, 'sales': 98, 'item_no': 590, 'city_name': 'Lake Raymondburgh'}
{'sales_id': 9230723, 'e_id': 5756, 'store_id': 2027, 'sales': 28, 'item_no': 134, 'city_name': 'South Brittney'}
{'sales_id': 3165108, 'e_id': 3854, 'store_id': 2733, 'sales': 99, 'item_no': 70, 'city_name': 'East Brett'}
{'sales_id': 4855306, 'e_id': 5756, 'store_id': 2027, 'sales': 47, 'item_no': 664, 'city_name': 'Ericksonhaven'}
{'sales_id': 3976973, 'e_id': 5756, 'store_id': 2027, 'sales': 36, 'item_no': 933, 'city_name': 'North Jamesland'}
{'sales_id': 3422549, 'e_id': 3854, 'store_id': 2733, 'sales': 32, 'item_no': 455, 'city_name': 'Scottfort'}
{'sales_id': 8576662, 'e_id': 3854, 'store_id': 2733, 'sales': 100, 'item_no': 873, 'city_name': 'Brookston'}
{'sales_id': 1452612, 'e_id': 1855, 'store_id': 2027, 'sales': 44, 'item_no': 880, 'city_name': 'Jacksonton'}
{'sales_id': 5345953, 'e_id': 4190, 'store_id': 2027, 'sales': 86, 'item_no': 113, 'city_name': 'West John'}
{'sales_id': 3260623, 'e_id': 4190, 'store_id': 2027, 'sales': 4, 'item_no': 690, 'city_name': 'Port Lesliechester'}
{'sales_id': 4379766, 'e_id': 1855, 'store_id': 2027, 'sales': 80, 'item_no': 75, 'city_name': 'Wadeberg'}
{'sales_id': 1871850, 'e_id': 1855, 'store_id': 2027, 'sales': 7, 'item_no': 807, 'city_name': 'East Jennifermouth'}
{'sales_id': 7042710, 'e_id': 1855, 'store_id': 2027, 'sales': 15, 'item_no': 97, 'city_name': 'East Edgarborough'}
{'sales_id': 8091366, 'e_id': 5756, 'store_id': 2027, 'sales': 46, 'item_no': 781, 'city_name': 'Kaitlynside'}
{'sales_id': 3591251, 'e_id': 5756, 'store_id': 2027, 'sales': 1, 'item_no': 307, 'city_name': 'Lake Gregoryview'}
{'sales_id': 8988104, 'e_id': 1102, 'store_id': 2733, 'sales': 80, 'item_no': 167, 'city_name': 'Yvonneburgh'}
{'sales_id': 4664271, 'e_id': 1855, 'store_id': 2027, 'sales': 30, 'item_no': 284, 'city_name': 'North Alexanderton'}
{'sales_id': 2925173, 'e_id': 1102, 'store_id': 2733, 'sales': 10, 'item_no': 813, 'city_name': 'Lake Alyssaside'}
{'sales_id': 8551117, 'e_id': 8824, 'store_id': 2733, 'sales': 38, 'item_no': 309, 'city_name': 'Leroyton'}
{'sales_id': 6960724, 'e_id': 1855, 'store_id': 2027, 'sales': 40, 'item_no': 296, 'city_name': 'East Davidville'}
{'sales_id': 1615516, 'e_id': 1855, 'store_id': 2027, 'sales': 56, 'item_no': 882, 'city_name': 'Glassmouth'}
{'sales_id': 6101850, 'e_id': 8824, 'store_id': 2733, 'sales': 68, 'item_no': 671, 'city_name': 'North Phyllisport'}
{'sales_id': 4247712, 'e_id': 4190, 'store_id': 2027, 'sales': 23, 'item_no': 487, 'city_name': 'Parkerburgh'}
{'sales_id': 2768138, 'e_id': 5756, 'store_id': 2027, 'sales': 11, 'item_no': 407, 'city_name': 'Lake Joyfort'}
{'sales_id': 8088074, 'e_id': 3854, 'store_id': 2733, 'sales': 52, 'item_no': 309, 'city_name': 'Port Daniel'}
{'sales_id': 3991768, 'e_id': 1102, 'store_id': 2733, 'sales': 86, 'item_no': 222, 'city_name': 'Lake Ashley'}
{'sales_id': 5506619, 'e_id': 4190, 'store_id': 2027, 'sales': 36, 'item_no': 985, 'city_name': 'Port Catherineton'}
{'sales_id': 1810078, 'e_id': 1855, 'store_id': 2027, 'sales': 4, 'item_no': 705, 'city_name': 'Vincentshire'}
{'sales_id': 1111578, 'e_id': 3854, 'store_id': 2733, 'sales': 95, 'item_no': 540, 'city_name': 'Wileyport'}
{'sales_id': 7070762, 'e_id': 5756, 'store_id': 2027, 'sales': 52, 'item_no': 218, 'city_name': 'Robertsonfort'}
{'sales_id': 3935348, 'e_id': 5756, 'store_id': 2027, 'sales': 21, 'item_no': 158, 'city_name': 'Billychester'}
{'sales_id': 9269181, 'e_id': 4190, 'store_id': 2027, 'sales': 73, 'item_no': 237, 'city_name': 'East David'}
{'sales_id': 8738645, 'e_id': 4190, 'store_id': 2027, 'sales': 22, 'item_no': 599, 'city_name': 'Kennedyport'}
{'sales_id': 8877384, 'e_id': 5756, 'store_id': 2027, 'sales': 60, 'item_no': 446, 'city_name': 'Jenniferchester'}
{'sales_id': 9933590, 'e_id': 1102, 'store_id': 2733, 'sales': 67, 'item_no': 980, 'city_name': 'Kirkmouth'}
