{'sales_id': 71514, 'e_id': 2133, 'store_id': 3863, 'sales': 51, 'item_no': 179, 'city_name': 'Jonesland'}
{'sales_id': 3108248, 'e_id': 8938, 'store_id': 1467, 'sales': 41, 'item_no': 781, 'city_name': 'Riddleborough'}
{'sales_id': 1376421, 'e_id': 2061, 'store_id': 1467, 'sales': 41, 'item_no': 976, 'city_name': 'Amandaland'}
{'sales_id': 2361190, 'e_id': 3679, 'store_id': 3863, 'sales': 54, 'item_no': 938, 'city_name': 'Biancaburgh'}
{'sales_id': 1523631, 'e_id': 8938, 'store_id': 1467, 'sales': 72, 'item_no': 832, 'city_name': 'West Jenna'}
{'sales_id': 4219405, 'e_id': 6510, 'store_id': 1467, 'sales': 83, 'item_no': 705, 'city_name': 'Glovertown'}
{'sales_id': 3802564, 'e_id': 2061, 'store_id': 1467, 'sales': 70, 'item_no': 37, 'city_name': 'North Codyhaven'}
{'sales_id': 5790694, 'e_id': 2133, 'store_id': 3863, 'sales': 28, 'item_no': 853, 'city_name': 'West James'}
{'sales_id': 2549545, 'e_id': 7292, 'store_id': 3863, 'sales': 5, 'item_no': 358, 'city_name': 'Hayesshire'}
{'sales_id': 4614850, 'e_id': 2133, 'store_id': 3863, 'sales': 85, 'item_no': 765, 'city_name': 'Curryborough'}
{'sales_id': 3792471, 'e_id': 2061, 'store_id': 1467, 'sales': 29, 'item_no': 19, 'city_name': 'West Lance'}
{'sales_id': 5933952, 'e_id': 2061, 'store_id': 1467, 'sales': 27, 'item_no': 550, 'city_name': 'East Allisonburgh'}
{'sales_id': 6167197, 'e_id': 6510, 'store_id': 1467, 'sales': 56, 'item_no': 905, 'city_name': 'Frederickton'}
{'sales_id': 5796967, 'e_id': 2061, 'store_id': 1467, 'sales': 79, 'item_no': 910, 'city_name': 'Barryland'}
{'sales_id': 3275141, 'e_id': 2133, 'store_id': 3863, 'sales': 5, 'item_no': 890, 'city_name': 'Torresmouth'}
{'sales_id': 8997638, 'e_id': 3679, 'store_id': 3863, 'sales': 64, 'item_no': 665, 'city_name': 'New Jacqueline'}
{'sales_id': 9674698, 'e_id': 8938, 'store_id': 1467, 'sales': 36, 'item_no': 222, 'city_name': 'Chelseyland'}
{'sales_id': 3549173, 'e_id': 2061, 'store_id': 1467, 'sales': 14, 'item_no': 668, 'city_name': 'Wyattside'}
{'sales_id': 7244087, 'e_id': 8938, 'store_id': 1467, 'sales': 51, 'item_no': 223, 'city_name': 'Nixonchester'}
{'sales_id': 6203650, 'e_id': 2133, 'store_id': 3863, 'sales': 91, 'item_no': 891, 'city_name': 'Briannashire'}
{'sales_id': 7596418, 'e_id': 6510, 'store_id': 1467, 'sales': 23, 'item_no': 879, 'city_name': 'East Stephanie'}
{'sales_id': 6258710, 'e_id': 7292, 'store_id': 3863, 'sales': 75, 'item_no': 930, 'city_name': 'Quinnburgh'}
{'sales_id': 4577557, 'e_id': 2133, 'store_id': 3863, 'sales': 89, 'item_no': 843, 'city_name': 'Haneychester'}
{'sales_id': 6010163, 'e_id': 3679, 'store_id': 3863, 'sales': 61, 'item_no': 202, 'city_name': 'New Ashleyview'}
{'sales_id': 9723266, 'e_id': 2133, 'store_id': 3863, 'sales': 56, 'item_no': 866, 'city_name': 'Kelleyland'}
{'sales_id': 1161824, 'e_id': 8938, 'store_id': 1467, 'sales': 52, 'item_no': 775, 'city_name': 'New Cynthia'}
{'sales_id': 3839680, 'e_id': 2061, 'store_id': 1467, 'sales': 73, 'item_no': 381, 'city_name': 'North Susanhaven'}
{'sales_id': 7420249, 'e_id': 2061, 'store_id': 1467, 'sales': 89, 'item_no': 974, 'city_name': 'Smithstad'}
{'sales_id': 332087, 'e_id': 8938, 'store_id': 1467, 'sales': 77, 'item_no': 196, 'city_name': 'Pearsonview'}
{'sales_id': 6306640, 'e_id': 2133, 'store_id': 3863, 'sales': 42, 'item_no': 817, 'city_name': 'Gregoryhaven'}
{'sales_id': 1917690, 'e_id': 7292, 'store_id': 3863, 'sales': 95, 'item_no': 182, 'city_name': 'Masonberg'}
{'sales_id': 9586504, 'e_id': 2061, 'store_id': 1467, 'sales': 86, 'item_no': 909, 'city_name': 'North Christophershire'}
{'sales_id': 44162, 'e_id': 6510, 'store_id': 1467, 'sales': 87, 'item_no': 424, 'city_name': 'Bryantfurt'}
{'sales_id': 2480829, 'e_id': 8938, 'store_id': 1467, 'sales': 88, 'item_no': 587, 'city_name': 'South Keith'}
{'sales_id': 791987, 'e_id': 8938, 'store_id': 1467, 'sales': 56, 'item_no': 862, 'city_name': 'North Larry'}
{'sales_id': 7935281, 'e_id': 7292, 'store_id': 3863, 'sales': 54, 'item_no': 264, 'city_name': 'East Kenneth'}
{'sales_id': 948971, 'e_id': 3679, 'store_id': 3863, 'sales': 14, 'item_no': 253, 'city_name': 'Lake Marcus'}
